"Gene_Name","Gene_ID","Time"
"cygb2","ENSCHAG00000015325","PWS.cov12_cov13"
"ENSCHAG00000000247","ENSCHAG00000000247","PWS.cov12_cov13"
"ENSCHAG00000015319","ENSCHAG00000015319","PWS.cov12_cov13"
"ENSCHAG00000015321","ENSCHAG00000015321","PWS.cov12_cov13"
"ENSCHAG00000025728","ENSCHAG00000025728","PWS.cov12_cov13"
"ENSCHAG00000025729","ENSCHAG00000025729","PWS.cov12_cov13"
"her6","ENSCHAG00000025730","PWS.cov12_cov13"
"lrp8","ENSCHAG00000027185","PWS.cov12_cov13"
"lrrc15","ENSCHAG00000025724","PWS.cov12_cov13"
"map2k1","ENSCHAG00000000220","PWS.cov12_cov13"
"megf11","ENSCHAG00000000584","PWS.cov12_cov13"
"meox2b","ENSCHAG00000006699","PWS.cov12_cov13"
"mier1a","ENSCHAG00000027168","PWS.cov12_cov13"
"mylipa","ENSCHAG00000006684","PWS.cov12_cov13"
"opa1","ENSCHAG00000025933","PWS.cov12_cov13"
"PRPSAP1","ENSCHAG00000015124","PWS.cov12_cov13"
"slc35d1a","ENSCHAG00000027162","PWS.cov12_cov13"
"SPHK1","ENSCHAG00000015354","PWS.cov12_cov13"
"ak5l","ENSCHAG00000001908","PWS.cov12_cov23"
"akap12b","ENSCHAG00000005140","PWS.cov12_cov23"
"alyref","ENSCHAG00000003444","PWS.cov12_cov23"
"ARHGDIA","ENSCHAG00000003580","PWS.cov12_cov23"
"edf1","ENSCHAG00000003437","PWS.cov12_cov23"
"ENSCHAG00000001893","ENSCHAG00000001893","PWS.cov12_cov23"
"ENSCHAG00000002830","ENSCHAG00000002830","PWS.cov12_cov23"
"ENSCHAG00000002887","ENSCHAG00000002887","PWS.cov12_cov23"
"ENSCHAG00000005097","ENSCHAG00000005097","PWS.cov12_cov23"
"ENSCHAG00000005105","ENSCHAG00000005105","PWS.cov12_cov23"
"ENSCHAG00000019145","ENSCHAG00000019145","PWS.cov12_cov23"
"ENSCHAG00000019153","ENSCHAG00000019153","PWS.cov12_cov23"
"ENSCHAG00000019307","ENSCHAG00000019307","PWS.cov12_cov23"
"ENSCHAG00000019311","ENSCHAG00000019311","PWS.cov12_cov23"
"ENSCHAG00000022709","ENSCHAG00000022709","PWS.cov12_cov23"
"ENSCHAG00000022815","ENSCHAG00000022815","PWS.cov12_cov23"
"ENSCHAG00000022830","ENSCHAG00000022830","PWS.cov12_cov23"
"ENSCHAG00000025760","ENSCHAG00000025760","PWS.cov12_cov23"
"ENSCHAG00000025791","ENSCHAG00000025791","PWS.cov12_cov23"
"fam172a","ENSCHAG00000021542","PWS.cov12_cov23"
"gse1","ENSCHAG00000017820","PWS.cov12_cov23"
"mcrip1","ENSCHAG00000003402","PWS.cov12_cov23"
"meis2a","ENSCHAG00000002554","PWS.cov12_cov23"
"nr2f1a","ENSCHAG00000021538","PWS.cov12_cov23"
"plpp7a","ENSCHAG00000003422","PWS.cov12_cov23"
"qsox2","ENSCHAG00000002949","PWS.cov12_cov23"
"recql5","ENSCHAG00000003867","PWS.cov12_cov23"
"RHOV","ENSCHAG00000019137","PWS.cov12_cov23"
"si:ch211-262n1.4","ENSCHAG00000001867","PWS.cov12_cov23"
"slf1","ENSCHAG00000021561","PWS.cov12_cov23"
"smyd3","ENSCHAG00000017656","PWS.cov12_cov23"
"tfec","ENSCHAG00000001890","PWS.cov12_cov23"
"wnt5b","ENSCHAG00000026035","PWS.cov12_cov23"
"zgc:154061","ENSCHAG00000002454","PWS.cov12_cov23"
"znhit3","ENSCHAG00000022807","PWS.cov12_cov23"
"bahcc1b","ENSCHAG00000021207","PWS.cov13_cov23"
"edn1","ENSCHAG00000002785","PWS.cov13_cov23"
"ENSCHAG00000002206","ENSCHAG00000002206","PWS.cov13_cov23"
"ENSCHAG00000002232","ENSCHAG00000002232","PWS.cov13_cov23"
"ENSCHAG00000002257","ENSCHAG00000002257","PWS.cov13_cov23"
"ENSCHAG00000005805","ENSCHAG00000005805","PWS.cov13_cov23"
"ENSCHAG00000005944","ENSCHAG00000005944","PWS.cov13_cov23"
"ENSCHAG00000018392","ENSCHAG00000018392","PWS.cov13_cov23"
"papolg","ENSCHAG00000003904","PWS.cov13_cov23"
"pex13","ENSCHAG00000003593","PWS.cov13_cov23"
"pomcb","ENSCHAG00000009641","PWS.cov13_cov23"
"rel","ENSCHAG00000003607","PWS.cov13_cov23"
"si:ch211-189k9.2","ENSCHAG00000003275","PWS.cov13_cov23"
"slc38a10","ENSCHAG00000021219","PWS.cov13_cov23"
"slit3","ENSCHAG00000014782","PWS.cov13_cov23"
"sync","ENSCHAG00000006674","PWS.cov13_cov23"
"U12","ENSCHAG00000002816","PWS.cov13_cov23"
"xpo1b","ENSCHAG00000002294","PWS.cov13_cov23"
