"","pop1","pop2","gwFst","null.Fstmax","null.Fst.95q"
"1","PWS07","PWS17",0.0103188863002844,0.246707461408678,0.182829748737126
"2","PWS07","PWS91",0.00979467474659507,0.441361174592242,0.233291215487542
"3","PWS07","PWS96",0.00837393528725402,0.269117179016737,0.179928547705462
"4","PWS17","PWS91",0.00765375073560927,0.338697970416237,0.218786133840495
"5","PWS17","PWS96",0.00739492084694571,0.221527190997844,0.153516653553972
"6","PWS91","PWS96",0.00687318197065077,0.433854511538951,0.174296566747871
"7","TB06","TB17",0.00852490421009792,0.260039638899295,0.194793806237637
"8","TB06","TB91",0.0092442315413368,0.351965857294384,0.240386934841197
"9","TB06","TB96",0.00820327156920492,0.293894930130305,0.170460619645283
"10","TB17","TB91",0.00818339135965354,0.240103875931364,0.140140415603757
"11","TB17","TB96",0.00648642193916601,0.239912247933547,0.143109365942702
"12","TB91","TB96",0.0071319843619719,0.302232455701271,0.171856835273187
"13","SS06","SS17",0.00962928791049281,0.471520865713531,0.213921569101426
"14","SS06","SS96",0.00939536633957264,0.440491782300071,0.23073952583026
"15","SS17","SS96",0.00604714728999833,0.182270051442362,0.122256363010509
