"pop.yr","depth","pi","pop","meanHe"
"BC17",1.143338515625,0.00380475917350617,"BC",0.00367845658938126
"CA17",1.30675451428571,0.00401743537933042,"CA",0.00396304124676392
"PWS07",1.22457319565217,0.00377376608736726,"PWS",0.00394277235962868
"PWS17",0.959660446428571,0.00349800312569863,"PWS",0.00358628531206644
"PWS91",1.02838489655172,0.00372650238137738,"PWS",0.00375117051006426
"PWS96",1.08584426388889,0.0038393085515221,"PWS",0.00373663062668279
"SS06",0.983074048780488,0.00344814544053391,"SS",0.0039166788837415
"SS17",1.005945234375,0.00363475799625587,"SS",0.00361509970746818
"SS96",1.10343670512821,0.00384680782806243,"SS",0.00364262273927826
"TB06",1.10693496153846,0.00356693725234462,"TB",0.00377512617044378
"TB17",0.941212916666667,0.00338966807711003,"TB",0.00315990861810266
"TB91",1.13594310810811,0.0034475511419065,"TB",0.00323094371394078
"TB96",0.935789643835616,0.00354454100660194,"TB",0.00328988943876341
"WA17",0.904810847222222,0.00370175548533494,"WA",0.00349813462972084
