"","Var1","Freq"
"1","0",1402829
"2","1",4237266
"3","2",2342337
"4","3",1453033
"5","4",949576
"6","5",690550
"7","6",540708
"8","7",443360
"9","8",376104
"10","9",326531
"11","10",289227
"12","11",260996
"13","12",237432
"14","13",218570
"15","14",203323
"16","15",192122
"17","16",181038
"18","17",169986
"19","18",157611
"20","19",142395
"21","20",127270
"22","21",111582
"23","22",96086
"24","23",82219
"25","24",68638
"26","25",56215
"27","26",45456
"28","27",35242
"29","28",27082
"30","29",20075
"31","30",14771
"32","31",10719
"33","32",7372
"34","33",5114
"35","34",3619
"36","35",2507
"37","36",1705
"38","37",1059
"39","38",731
"40","39",486
"41","40",284
"42","41",216
"43","42",123
"44","43",89
"45","44",64
"46","45",41
"47","46",31
"48","47",24
"49","48",13
"50","49",17
"51","50",19
"52","51",12
"53","52",13
"54","53",6
"55","54",8
"56","55",14
"57","56",8
"58","57",14
"59","58",3
"60","59",7
"61","60",6
"62","61",2
"63","62",3
"64","63",1
"65","64",3
"66","65",2
"67","66",2
"68","67",3
"69","68",4
"70","69",2
"71","70",2
"72","71",3
"73","72",2
